country,date,fertility_rate,gdp_per_capita,gdp_growth_rate,population,unemployment_rate,net_migration,avg_dest_gdp,gdp_gap_ratio,migration_pressure,pop_growth,gdp_lag_5,fertility_lag_3
Afghanistan,2000,7.566,174.930991430166,-9.4319740700862,20130327.0,7.897,-1025973.0,27050.256836082543,154.63387370602794,1169.9598884598074,,,
Afghanistan,2001,7.453,138.706821676113,-9.4319740700862,20284307.0,7.973,-212872.0,27035.9502538777,194.91435191996487,1452.6966648594982,0.7649155426039611,,
Afghanistan,2002,7.32,178.954088379235,28.6000011706788,21378117.0,7.867,860349.0,28408.729514927418,158.74870349273246,1162.0405095668016,5.392395214684931,,
Afghanistan,2003,7.174,198.871115728727,8.83227780288267,22733049.0,7.844,247317.0,32507.90732405692,163.46218607432058,1172.677722897176,6.337938930729958,,7.566
Afghanistan,2004,7.018,221.763653873013,1.41411799339429,23560654.0,7.794,-269194.0,36517.24976751736,164.66742466476487,1155.6359862973197,3.640536735745381,,7.453
Afghanistan,2005,6.858,254.184249149336,11.2297148272859,24404567.0,7.878,250971.0,38505.624311958745,151.48705885916743,1038.8982496561703,3.5818742552732097,174.930991430166,7.32
Afghanistan,2006,6.686,274.218553561575,5.35740324748592,25424094.0,7.897,57673.0,40982.619977352224,149.45239643731728,999.2387225799033,4.177607412579776,138.706821676113,7.174
Afghanistan,2007,6.508,376.223152003876,13.8263195471281,25909852.0,7.841,-851298.0,45435.300017531576,120.76689001070163,785.9509201896462,1.9106206891777555,178.954088379235,7.018
Afghanistan,2008,6.392,381.73323802844,3.92498381999467,26482622.0,7.879,215753.0,46955.33693399176,123.00562868589789,786.2519785602593,2.2106262899533435,198.871115728727,6.858
Afghanistan,2009,6.295,452.053705477043,21.3905283926492,27466101.0,7.808,-60602.0,42255.83467634836,93.47525341431863,588.4267202431357,3.713676840608904,221.763653873013,6.686
Afghanistan,2010,6.195,560.621505463146,14.3624414710737,28284089.0,7.809,-167460.0,43814.67728781202,78.15375767937303,484.16252882371595,2.9781729849460703,254.184249149336,6.508
Afghanistan,2011,6.094,606.694676337726,0.426354776777345,29347708.0,7.83,384486.0,47221.08305970434,77.83335654888455,474.3164748089025,3.7604852678833067,274.218553561575,6.392
Afghanistan,2012,5.985,651.417134470046,12.7522870926697,30560034.0,7.875,68628.0,46529.73392493532,71.42847718119837,427.49943592947227,4.1309052141311975,376.223152003876,6.295
Afghanistan,2013,5.879,637.087099117099,5.60074465863221,31622704.0,7.921,18119.0,47860.02602784562,75.123207006031,441.6493339884562,3.4773194296838783,381.73323802844,6.195
Afghanistan,2014,5.77,625.054941813938,2.72454336219565,32792523.0,7.915,233913.0,49157.63021882968,78.64529488587355,453.78335149149035,3.6993009832429147,452.053705477043,6.094
Afghanistan,2015,5.652,565.569730408751,1.45131466066431,33831764.0,9.032,-286314.0,44810.92904203534,79.23148399340502,447.8163475307252,3.1691401116040963,560.621505463146,5.985
Afghanistan,2016,5.542,522.082215583898,2.26031420279821,34700612.0,10.116,-143049.0,44236.64517592658,84.73118573183383,469.5802313258231,2.5681427666615297,606.694676337726,5.879
Afghanistan,2017,5.433,525.469770891619,2.6470032027451,35688935.0,11.184,-71491.0,45984.52697074104,87.51126994939087,475.44872963504054,2.848142851198121,651.417134470046,5.77
